personId,personId
2006LAPI01,2006LAPI01
2005KOZK01,2005KOZK01
2007POLK01,2007POLK01
2003VAND01,2003VAND01
2005KURC01,2005KURC01
2006WLOS01,2006WLOS01
2003BRUC01,2003BRUC01
2004GALL02,2004GALL02
2005LUCZ01,2005LUCZ01
2006GALE01,2006GALE01
2006GORS01,2006GORS01
2006ORKE01,2006ORKE01
2006FRAN01,2006FRAN01
2006PRUS01,2006PRUS01
2006KUTI01,2006KUTI01
2007ALEX01,2007ALEX01
2006ROBA01,2006ROBA01
2006CUDZ01,2006CUDZ01
2006ZAWI02,2006ZAWI02
2005STUD01,2005STUD01
2006ZAWI01,2006ZAWI01
2005CIAL02,2005CIAL02
2004NAGY01,2004NAGY01
2005KOCZ01,2005KOCZ01
2007BODO01,2007BODO01
2005KREZ01,2005KREZ01
2005PEER01,2005PEER01
2007JIPT01,2007JIPT01
2003DENN01,2003DENN01
2006BURN01,2006BURN01
2007JAKU01,2007JAKU01
2005KACP01,2005KACP01
2007GORS01,2007GORS01
2003ZBOR02,2003ZBOR02
2007KRZY01,2007KRZY01
2006MORG01,2006MORG01
2007STAW01,2007STAW01
2006WOJT01,2006WOJT01
2007KORZ01,2007KORZ01
2007LAGI01,2007LAGI01
2007MROZ01,2007MROZ01
2006PRZE01,2006PRZE01
2005DURK01,2005DURK01
2007GANC01,2007GANC01
2006SEWE01,2006SEWE01
2007POTO01,2007POTO01
2006GUZE01,2006GUZE01
2007HABE01,2007HABE01
2006BITE01,2006BITE01
2005PETA01,2005PETA01
2006CHOJ01,2006CHOJ01
2007PONI01,2007PONI01
2005PAWL01,2005PAWL01
2007WOLN01,2007WOLN01
2005ZOLN01,2005ZOLN01
2006PAWL01,2006PAWL01
2005GAWE01,2005GAWE01
2006OLBR01,2006OLBR01
2007WRON01,2007WRON01
2006MARC01,2006MARC01
2005BORY01,2005BORY01
2006MATU02,2006MATU02
2006STWO01,2006STWO01
2007WACL01,2007WACL01
2006OOMS01,2006OOMS01
2007SADO01,2007SADO01
2005JOKS01,2005JOKS01
2007DULD01,2007DULD01
2007JASI01,2007JASI01
2003ZBOR01,2003ZBOR01
2006CZOP01,2006CZOP01
2005WOLA01,2005WOLA01
2007MITO01,2007MITO01
2007RZEP01,2007RZEP01
2006SZWA01,2006SZWA01
2007GUZE01,2007GUZE01
2007LUJI01,2007LUJI01
2006JANG01,2006JANG01
2007LICH01,2007LICH01
2007CHEN06,2007CHEN06
2007TONG01,2007TONG01
2006CHOU01,2006CHOU01
2007LINS01,2007LINS01
2007CHEN08,2007CHEN08
2006JAIW01,2006JAIW01
2006TSAI03,2006TSAI03
2007WUPE01,2007WUPE01
2006FENG02,2006FENG02
2006KANG02,2006KANG02
2007CHEN07,2007CHEN07
2006CHEN03,2006CHEN03
2007LIUS01,2007LIUS01
2007SHIU02,2007SHIU02
2007LINW01,2007LINW01
2006LINC01,2006LINC01
2007CHOU01,2007CHOU01
2007YANG01,2007YANG01
2007HOYI01,2007HOYI01
2007CHAN03,2007CHAN03
2007WANG05,2007WANG05
2007LIKU01,2007LIKU01
2007CHIN01,2007CHIN01
2007PENG01,2007PENG01
2007XUBI01,2007XUBI01
2007CHAN08,2007CHAN08
2007SUNT01,2007SUNT01
2007KEZH01,2007KEZH01
2007WEIY01,2007WEIY01
2007JIAN02,2007JIAN02
2007LIJO01,2007LIJO01
2007CHUE01,2007CHUE01
2007CHEN11,2007CHEN11
2007HOHU01,2007HOHU01
2007ZHAN03,2007ZHAN03
2007KUEN01,2007KUEN01
2007ZHAN02,2007ZHAN02
2007LINW02,2007LINW02
2007LIZH02,2007LIZH02
2007JIAN01,2007JIAN01
2007XIEE01,2007XIEE01
2007XUPE01,2007XUPE01
2007XUYU01,2007XUYU01
2007CHEN10,2007CHEN10
2007ZHON01,2007ZHON01
2007ZHEN01,2007ZHEN01
2007YEYU01,2007YEYU01
2007LIQI01,2007LIQI01
2007ZHUJ01,2007ZHUJ01
2007YIZI01,2007YIZI01
2007PENG02,2007PENG02
2007CHEN12,2007CHEN12
2007YANG02,2007YANG02
2007LUZH01,2007LUZH01
2007LUYU01,2007LUYU01
2007LISI01,2007LISI01
2007LANJ01,2007LANJ01
2007HUAN02,2007HUAN02
2007CHEN09,2007CHEN09
2007JIZI01,2007JIZI01
2007PANZ01,2007PANZ01
2007YAOM01,2007YAOM01
2007ZHOU02,2007ZHOU02
2007LONG01,2007LONG01
2007LIAN01,2007LIAN01
2007TANG01,2007TANG01
2007LUOZ01,2007LUOZ01
2007MEIY01,2007MEIY01
2007HEMI01,2007HEMI01
2007CHEN13,2007CHEN13
2007OUPE01,2007OUPE01
2007ZHOU01,2007ZHOU01
2007LUOR01,2007LUOR01
2007LONG02,2007LONG02
2007WUSH01,2007WUSH01
2007LIZH01,2007LIZH01
2007LIUY01,2007LIUY01
2007TANY01,2007TANY01
2007LIZH03,2007LIZH03
2006KRUE01,2006KRUE01
2007WEIZ02,2007WEIZ02
2007NALA01,2007NALA01
2005BATI01,2005BATI01
2005AKKE01,2005AKKE01
2003MAKI01,2003MAKI01
2006ORLA01,2006ORLA01
2004KRIG01,2004KRIG01
2006JACQ01,2006JACQ01
2007HORV01,2007HORV01
2006TABU02,2006TABU02
2007RUFF01,2007RUFF01
2005OOMS01,2005OOMS01
2004CHAM01,2004CHAM01
2003HARD01,2003HARD01
2006GUNJ01,2006GUNJ01
2003POCH01,2003POCH01
2005CALV02,2005CALV02
2003HARR01,2003HARR01
2004ROUX01,2004ROUX01
2004LOLE01,2004LOLE01
2005SUSE01,2005SUSE01
2004NOOR01,2004NOOR01
2007LIPC01,2007LIPC01
2006SOUC01,2006SOUC01
2007CSAN01,2007CSAN01
2007HOMO01,2007HOMO01
2006YUMO01,2006YUMO01
2006ARAK01,2006ARAK01
2004ZAMO01,2004ZAMO01
2005THOM01,2005THOM01
2006JOHA01,2006JOHA01
2006DZOA03,2006DZOA03
2004KRIG02,2004KRIG02
2005OOTS01,2005OOTS01
2004FERN01,2004FERN01
2004MAOT01,2004MAOT01
2003BURT01,2003BURT01
2007ROKA01,2007ROKA01
2004FELI01,2004FELI01
2007FEKE01,2007FEKE01
2006MATI02,2006MATI02
2004NILS01,2004NILS01
2005KOSE01,2005KOSE01
2005REYN01,2005REYN01
2007PERG01,2007PERG01
2007LOPE01,2007LOPE01
2006BUUS01,2006BUUS01
1982RAZO01,1982RAZO01
2007MOKR01,2007MOKR01
2007POLI01,2007POLI01
2006STAD01,2006STAD01
2007LACZ01,2007LACZ01
2007SINT01,2007SINT01
2007GOUL01,2007GOUL01
2004GALL01,2004GALL01
2007KOND01,2007KOND01
2007LABS01,2007LABS01
2007HORV02,2007HORV02
2006LAMA01,2006LAMA01
2007KOPA01,2007KOPA01
2006MATH01,2006MATH01
2006BUUS02,2006BUUS02
2007FRAJ01,2007FRAJ01
2003LARS01,2003LARS01
2003LEEJ01,2003LEEJ01
2006ARAK02,2006ARAK02
2007ELEK01,2007ELEK01
2005AKUZ01,2005AKUZ01
2006SATT01,2006SATT01
2007DIAZ01,2007DIAZ01
2005GUST02,2005GUST02
2007PETE01,2007PETE01
2004WOLF01,2004WOLF01
2005SIMO01,2005SIMO01
2005HERC01,2005HERC01
2007ORTI01,2007ORTI01
2006PIRZ01,2006PIRZ01
2006HOPD01,2006HOPD01
2007CICH01,2007CICH01
2007BALO03,2007BALO03
2007HESS01,2007HESS01
2006BEYE01,2006BEYE01
2007NOVA01,2007NOVA01
2006BONN01,2006BONN01
2007KOVA01,2007KOVA01
2007FODO01,2007FODO01
2004FONN01,2004FONN01
2007FEHE01,2007FEHE01
2003VOMB01,2003VOMB01
2007GRAB01,2007GRAB01
2007KARA01,2007KARA01
2007BUDI01,2007BUDI01
2007RUFE01,2007RUFE01
2007KERE03,2007KERE03
2007SZAB01,2007SZAB01
2007BALO01,2007BALO01
2007DANI02,2007DANI02
2007MOLI01,2007MOLI01
2007URIA01,2007URIA01
2005KERE01,2005KERE01
2007OLAJ01,2007OLAJ01
2007ZISI01,2007ZISI01
2007GOEP01,2007GOEP01
2007PETR01,2007PETR01
2007KERE02,2007KERE02
2007CHRI02,2007CHRI02
2007BERN01,2007BERN01
2005FARK01,2005FARK01
2007JANK01,2007JANK01
2007BALO02,2007BALO02
2007HANS01,2007HANS01
2007PETO01,2007PETO01
2007DANK01,2007DANK01
2007GALE01,2007GALE01
2005FERE01,2005FERE01
2007JURG01,2007JURG01
2007BERT03,2007BERT03
2005NAGY01,2005NAGY01
2007BERT02,2007BERT02
2007KERE01,2007KERE01
2007ROMF01,2007ROMF01
2007KADA01,2007KADA01
2007SATT01,2007SATT01
2007BERE02,2007BERE02
2006REYN01,2006REYN01
2007MAGY01,2007MAGY01
2007TAKA02,2007TAKA02
2007LAYH01,2007LAYH01
2007PREU01,2007PREU01
2004PONS01,2004PONS01
2007CHAN07,2007CHAN07
2007NAKA03,2007NAKA03
2005VANH01,2005VANH01
2004PATR01,2004PATR01
2006KANG01,2006KANG01
2006TEMM01,2006TEMM01
2003MORG01,2003MORG01
2003MORR01,2003MORR01
2007GUIM01,2007GUIM01
2006OOKU01,2006OOKU01
2004MAOT02,2004MAOT02
2006MOND01,2006MOND01
2007ENDR01,2007ENDR01
2003BADI01,2003BADI01
2004CHAN04,2004CHAN04
2007MULL02,2007MULL02
2007KRAU01,2007KRAU01
1982PETR01,1982PETR01
2007LENO01,2007LENO01
2007SMOH01,2007SMOH01
2005WALT01,2005WALT01
2006HOPM01,2006HOPM01
2004ZIJD01,2004ZIJD01
2005PUDI01,2005PUDI01
2007MAIR01,2007MAIR01
2005SZAB02,2005SZAB02
2007TAKA01,2007TAKA01
2006BUDI01,2006BUDI01
2003SCHE01,2003SCHE01
2007MESC01,2007MESC01
2004COCK01,2004COCK01
2005VANH02,2005VANH02
2006VARG01,2006VARG01
2007FAZE01,2007FAZE01
2006NOVA01,2006NOVA01
2007OEYM01,2007OEYM01
2005PANC01,2005PANC01
2007CSEN01,2007CSEN01
2005GILL01,2005GILL01
2005UHLI01,2005UHLI01
2007MESZ01,2007MESZ01
2007RUDA02,2007RUDA02
2006JOHA02,2006JOHA02
2007RUDA01,2007RUDA01
2007JARA01,2007JARA01
2006SCHI01,2006SCHI01
2006LOUI01,2006LOUI01
2007ROKA02,2007ROKA02
2005KANT01,2005KANT01
2007GRAU01,2007GRAU01
2005STIL01,2005STIL01
2007HASH01,2007HASH01
2007DAVI01,2007DAVI01
2006AUST01,2006AUST01
2007POLS01,2007POLS01
2007FASB01,2007FASB01
2007CHOT01,2007CHOT01
2007PROV01,2007PROV01
2003HELT01,2003HELT01
2004BOSS01,2004BOSS01
2007LITW01,2007LITW01
2006PEET01,2006PEET01
2004GEEL01,2004GEEL01
2005WOIT01,2005WOIT01
2004BAYE01,2004BAYE01
2007SCHU01,2007SCHU01
2007KOZI01,2007KOZI01
2006ADMI01,2006ADMI01
2004BECH01,2004BECH01
2006TSCH01,2006TSCH01
2007WEIN01,2007WEIN01
2005BOSS01,2005BOSS01
2007STRE01,2007STRE01
2007WEIN02,2007WEIN02
2007BARO01,2007BARO01
2007SCHU02,2007SCHU02
2006WALT01,2006WALT01
2005PATZ01,2005PATZ01
2006BIRK01,2006BIRK01
2007SCHO02,2007SCHO02
2007FARE01,2007FARE01
2007CHRI03,2007CHRI03
2007KALK02,2007KALK02
2007KALK01,2007KALK01
2007ORTR01,2007ORTR01
2007SCHE01,2007SCHE01
2006BORS01,2006BORS01
2006DUDD01,2006DUDD01
2007MECH01,2007MECH01
2007NEUD01,2007NEUD01
2005HANN01,2005HANN01
2007WOLL01,2007WOLL01
2007THOM02,2007THOM02
2007WAPP01,2007WAPP01
2003RUET01,2003RUET01
2007HEVE01,2007HEVE01
2003BABC01,2003BABC01
2007CHAP02,2007CHAP02
2007ANTO01,2007ANTO01
2007DARG01,2007DARG01
2005FERN01,2005FERN01
2007BAIL01,2007BAIL01
2007LOGA01,2007LOGA01
2007QUIS01,2007QUIS01
2007ANDE01,2007ANDE01
2007HINO01,2007HINO01
2007FISC01,2007FISC01
2007MCCO01,2007MCCO01
2007CHAP01,2007CHAP01
2007CHRI04,2007CHRI04
2007JRAN01,2007JRAN01
2007LOGA02,2007LOGA02
2007COHE01,2007COHE01
2007YUAL01,2007YUAL01
2007JOHN02,2007JOHN02
2006CORR01,2006CORR01
2005GREE02,2005GREE02
2007COMP01,2007COMP01
2007ROSE02,2007ROSE02
2007CHOI01,2007CHOI01
2007BOYL01,2007BOYL01
2006SAWL01,2006SAWL01
2007EHRI01,2007EHRI01
2007HEAT01,2007HEAT01
2007NELS03,2007NELS03
2007COMP03,2007COMP03
2007CHIA01,2007CHIA01
2006KHOS01,2006KHOS01
2007COHE02,2007COHE02
2007BENI01,2007BENI01
2006NORS01,2006NORS01
2007HERZ01,2007HERZ01
2007ESTE01,2007ESTE01
2007STER01,2007STER01
2007JAME01,2007JAME01
2007WEIE01,2007WEIE01
2007KARS01,2007KARS01
2007BRUS01,2007BRUS01
2007WOOJ01,2007WOOJ01
2007EPST01,2007EPST01
2007KEME01,2007KEME01
2007LESL01,2007LESL01
2007SCIA01,2007SCIA01
2006OUYA01,2006OUYA01
2007ROSE03,2007ROSE03
2007TAMA02,2007TAMA02
2007BARB01,2007BARB01
2007CLEM01,2007CLEM01
2007DIPA01,2007DIPA01
2007REIT01,2007REIT01
2007NELS02,2007NELS02
2007SZCZ01,2007SZCZ01
2007YUSK01,2007YUSK01
2007CHAN10,2007CHAN10
2007OBRI01,2007OBRI01
2007BAIR01,2007BAIR01
2007GULI01,2007GULI01
2007HEGL01,2007HEGL01
2007COMP02,2007COMP02
2006BARL01,2006BARL01
2006PEMB01,2006PEMB01
2004CONN01,2004CONN01
2007BLAC02,2007BLAC02
2007VALL01,2007VALL01
2007CHIE01,2007CHIE01
2007MOBL01,2007MOBL01
2007LENN01,2007LENN01
2007KANG03,2007KANG03
2006WALL01,2006WALL01
2007DERR01,2007DERR01
2007COOP01,2007COOP01
2007SCOT01,2007SCOT01
2007FELT01,2007FELT01
2007CALL01,2007CALL01
2007GRAY02,2007GRAY02
2007COCH01,2007COCH01
2007JAFF01,2007JAFF01
2007ROGE01,2007ROGE01
2007ELLI01,2007ELLI01
2006KITC01,2006KITC01
2007WATA02,2007WATA02
2007MASO01,2007MASO01
2006WANG04,2006WANG04
2005VALD01,2005VALD01
2007NELS01,2007NELS01
2006LEVI01,2006LEVI01
2007DURA01,2007DURA01
2005WUKE01,2005WUKE01
2007LISI02,2007LISI02
2006WRIG01,2006WRIG01
2007SEID01,2007SEID01
2005LODA01,2005LODA01
2006DZOA02,2006DZOA02
2005LWIN01,2005LWIN01
2006GOTT01,2006GOTT01
2007LING01,2007LING01
2007MAHA01,2007MAHA01
2007YUKE01,2007YUKE01
2007YUGU01,2007YUGU01
2007ZHUS01,2007ZHUS01
2006GLEC01,2006GLEC01
2004CHAN02,2004CHAN02
2007HERN02,2007HERN02
2007QATT01,2007QATT01
2007RODR03,2007RODR03
2007WANG06,2007WANG06
2007LEUN01,2007LEUN01
2005BENN01,2005BENN01
2007BROW01,2007BROW01
2007KERA01,2007KERA01
