Competition,Event,Round,Group,Scramble Num,Scramble
NaftusiaOpen2014,333oh,f,A,5,F' R D' L D' B2 D2 R' F' U' R2 D2 F2 R B2 L2 F2 R'
OsijekOpen2015,333oh,2,B,3,U R' D R2 U2 B2 R U' B U' D2 F2 D2 F2 R2 B L2 F2 L2
DanishBigCubeOpen2015,333oh,f,A,1,F2 R' U2 F2 R D2 L B F2 L2 F' U' F' L B L' D2 F
WarsawCubeMasters2015,333oh,d,A,2,R B' D R2 D2 R' U2 B' L' D' F2 U2 R L2 F2 R D2 R U2 F2
RECCubeChallenge2015,333oh,f,C,4,R D2 L2 F' B2 U R D2 F' U' L F B' U2 D2 F' L2 F2 B
AZCubingFall2015,333oh,c,A,4,B2 U2 L2 D2 F2 D2 F' L F' L2 D B2 F D' B' U2 R U2
MinyonsdeTerrassaOpen2015,333oh,f,B,4,B2 L2 D2 F U2 L2 B D2 B' L' R B' L2 D U2 R2 B2 U' R2
MelgarSummer2015,333oh,c,A,1,U2 F' R2 B U2 L2 D2 U2 F2 U' F2 D' R U' F2 R' B' L2 R2 U'
GIC2016,333oh,d,G,1,F2 U B2 D' F2 D' L2 D2 R2 F D F L' R2 B L' B
LvivSpringDays2016,333oh,2,B,2,B' F2 U2 B L2 B F D L U2 R' B D2 U' R B2 L R
BigAppleSpring2016,333oh,d,B,5,B R L U2 R' F U' B L' B2 U R2 U' F2 U2 D' B2 U B2
LexingtonSummer2016,333oh,1,A,4,F' U2 B F U2 F L2 F' L2 R U2 L' B' D B D R' D' R2 B'
NationalCubingRegionOpen2016,333oh,d,C,1,L2 B2 D2 B2 U2 L2 D2 R' U2 F L2 R2 U' F' U' F2 U' B2 L
VITRubiksCubeChallenge2016,333oh,2,C,2,B' L U2 F' R2 B D F' U F2 U' B2 U2 B2 D L2 D'
VITRubiksCubeChallenge2016,333oh,f,C,2,L B' D' R2 B L U2 D2 L' B' L D2 R2 B' U2 F' B2 L2 D2
HiTechRodeoPlaza2016,333oh,c,A,2,F2 D F2 L2 U2 F L2 R D L2 R' F2 R2 F U' L' R
CubingATMOSphere2016,333oh,d,D,2,L2 B2 D2 L' U2 R U2 F2 U2 F' L' B2 F' R2 B2 D' L B R
TathvaCubeOpen2016,333oh,2,B,4,B2 D2 L2 F2 L2 R2 U L2 F D' R' B2 U B F2 L B L2 U'
TaiwanChampionship2016,333oh,d,B,2,L2 D2 R B2 L R2 B2 U2 L' F U2 F' R2 D2 U L' R' U' L'
MalabarOpen2017,333oh,1,G,3,B L2 U2 F' U2 L2 U2 L2 B2 F D' U' B' D L D F2 U' L2
SiauliaiTilzeOpen2017,333oh,f,A,1,F2 L2 D U2 L2 B2 L2 B' R2 D' B L' D U' B D' B2 U'
OrangeTech2017,333oh,f,A,3,L2 D B2 U' B2 U' F2 D' R' B F D L D U2 F D U2 R F
LP3600Rubik2017,333oh,c,B,5,R2 U' R2 B2 U' L2 R2 U2 F2 U L F2 L' B D B2 L2 U B
Tlaxcala2017,333oh,d,C,5,U' B' L' B R2 F L2 U L' F2 U' R2 U2 B2 L2 U' B2 D
CSPOpen2017,333oh,c,F,4,R2 F2 D2 B2 D2 R2 B2 R2 U' B2 U R B2 F D' L2 F' D2 B2 D'
ChinaChampionship2017,333oh,2,B,1,R2 D L2 B2 R2 D L2 B2 R2 B' L2 B' D2 R D B' R B R
UnivalleSpring2017,333oh,d,A,4,R2 F L2 U2 R2 F D2 R2 F2 R U' F2 R' U' F' U' B D R'
MonnemCityCubing2017,333oh,f,A,2,R2 F2 D' B2 U R2 D L2 R' F' L2 U2 L' B2 F U' R2 U2 F'
Maryland2017,333oh,d,D,2,D2 F2 L2 D2 B2 L2 D F2 D R' D F U2 L2 D' U2 B' L2 R2 F'
AOF2017,333oh,1,A,5,U F2 L2 U F2 D F2 L2 D U L2 B' R' B2 D U F' D F' L'
JuliacaSpeedcubing2017,333oh,d,A,2,L2 R F2 U2 L B2 D2 B2 D2 F D' L U L F2 D' U' B2
NatalOpen2017,333oh,f,A,4,R' B2 L B2 D2 R' F2 L2 D' R D2 F2 U R2 F' U' F D B2
CubingforLifeHonduras2017,333oh,f,A,1,U F2 U2 B2 D U2 R2 U' B F2 L2 B R' F' R2 F U L2
LibertyScience2017,333oh,d,B,1,R2 U2 B2 L R' F2 R2 B' R2 D' B2 D L R' F2 U2 R' B
Tlaxcala2018,333oh,f,A,4,U B2 D R2 B2 R2 D' B2 R2 U' R U' R2 D L B' L' U2 R U'
YakimaValleyCubing2018,333oh,1,A,1,R' F2 L B2 L' F L2 U2 R' B2 D' R2 L2 F2 R2 D2 F2
TCGFall2018,333oh,d,B,5,U' B2 F2 U B2 D U L2 F2 U B U2 L' B D2 U2 F' L U2 L
CubingUSANationals2018,333oh,1,K,1,R L U2 L' B' L B' U' F2 L D2 R L F2 R
ZiboOpen2018,333oh,c,A,3,U2 L U2 F2 L U2 B D' B F' D2 F R B2 L2 U2 F
PolishOpen2018,333oh,f,A,2,D2 B2 U2 B L2 B F R2 U2 R2 F R' D2 F2 L' U L2 D2 R
Shenzhen3x3Days2019,333oh,2,B,3,D2 B2 F2 L' U2 F2 L2 U2 L F2 D B R2 F U L' U2 B D' F
GuwahatiSummerOpen2019,333oh,d,B,2,U2 F2 R' B2 L B2 R2 B2 F U2 R' B' L' F L F' R' F2
BeijingSummer2019,333oh,d,A,2,B2 R2 F' R2 B D2 F2 L2 F U B L' D' R F R F2 L'
UPMOpen2019,333oh,d,A,4,R2 B L2 D2 B F2 R2 B D2 B D2 R D' B R' F L2 B2 U
NovosibirskTechLibrary2019,333oh,f,A,4,L U' R' D2 R U2 L' F B U' R2 U2 F L2 F2 D2 L2 U2 F2 U2
EzhouOpen2019,333oh,2,A,3,L2 U2 F' L2 U2 L2 D2 F L2 B2 U2 L B' L' R B' R' D B F
DragonCubing2020,333oh,f,A,1,R2 D F2 R2 B2 U' R F U' F2 R F' D F' L2 R2 D
BogoroditskOpen2021,333oh,d,D,2,L2 B2 R2 L' D R2 D2 R' B R B2 R2 B' L2 B U2 R2 U2 L2
MontevideoOpen2014,333,2,B,3,U R2 D2 B R B' R' U' R2 U2 B2 L D2 R2 B2 R2 F2 L' B2
UPVOpen2014,333,2,B,5,U F2 L2 B D2 R' F B2 U F2 B R' B2 R B2 D2
DJOPEN2014,333,d,G,5,F2 R2 D' F2 R2 D' U2 L2 R D R' D2 R D' L2 D U2 F'
KyushuOpen2014,333,f,A,4,R2 D U B2 F2 U2 R2 F U2 L' D' F2 D' R2 U F R2 U2 F
DoylestownSpring2015,333,3,A,2,L' D2 L' R2 F2 L B2 F2 U2 F L' F' L' R U' R' U' B2 R2
MelroseSpring2015,333,f,A,2,F2 D2 F D2 F D2 R2 B' D B U2 L2 U F2 L' U F2 L2 R'
IndianNationals2015,333,d,L,1,L' R' F2 D2 R F2 D2 F2 D' B D U2 R F2 D' U2 R B'
IndianNationals2015,333,3,D,1,R' U2 R' D2 R2 B U2 L' U R' B2 L2 D' L2 D B2 U' F2
BelgiumSummer2015,333,f,B,1,L2 F L2 F R2 U2 F2 U2 F' R2 D' R' U' L' D2 L D' R' B2 U
Cubetoberfest2015,333,1,A,1,U B' U' L2 B L' U' F R L2 U' B2 R2 F2 R D2 R2 D2
BignWeird2016,333,1,A,1,L F2 R2 F2 D2 U2 L2 D B2 R U2 R' B' L2 B R' F L
BigAppleCubeClash2016,333,2,D,3,D' F' R' U F L2 F D' B R' F2 D2 F2 B2 R2 D2 B R2 L2 U2 B2
IndianOpenRubiksCube2016,333,2,D,4,U B2 U B2 F2 R2 D2 U R2 U' L D2 U' R2 U R' B L2 U' B2
KharkivSpecial2016,333,1,D,1,F U' B' R D2 R' L2 B U' B L' F2 R2 U2 F B' L2 B'
HungarianNationals2016,333,3,B,3,D2 B2 L D F' L2 D L2 F B2 R' D F2 U R2 F2 U D' R2
MelbourneAutumn2016,333,1,G,1,L2 F D2 B2 F D2 L2 D L2 D B2 U' F2 L' D R2 D2 L
NationalCapitalRegion2016,333,2,B,2,R2 F L2 F' U2 L2 B' D2 B D F' L' U B' L' U2 F' R' U' L2
OruroOpen2016,333,f,A,5,U2 D' R2 U B2 R' L2 D F U' R2 B L2 B R2 F' D2 B' D2 B2
CajunCubeClash2016,333,1,C,1,B2 U2 L2 B2 D2 B D2 F' D2 F2 D2 L B R U2 B2 R' U R U
ChangchunOpen2016,333,f,A,2,D2 F2 U2 B' F D2 F' L F' L2 R2 B' D2 U' L2 B2 R D'
HCMCSummerOpen2016,333,f,A,1,L2 D' R2 U R2 F2 R2 D' R2 B2 D R' D F' R' B2 F2 D L F
ConstantaRubikOpen2016,333,1,A,3,F2 R B2 L B2 L2 F2 L D2 L' U' L F L' R D' L' B' D' R'
MoldavianNationalsSummer2016,333,f,A,3,F2 U B2 R2 D2 L2 R2 D' B2 L2 U' L' F2 U' R2 U' B' U2 L
SwissNationals2016,333,2,C,3,F' D L B2 U' R2 B U' R' F' U2 F' U2 D2 F D2 L2 B2 U2
GermanNationals2016,333,2,D,2,L F2 L' U2 L2 D2 F2 R B2 R U R F2 U R2 F2 U F' D2 U'
AmaltheaSCMUOpen2016,333,d,J,5,D2 F2 D' F2 U R2 D2 F2 R F2 R' B' R B' U2 R2 D L2 U
AmaltheaSCMUOpen2016,333,f,D,1,L R2 D2 F2 L U2 B2 F2 U R2 F L' B2 F D F2 D2 B
URABacktoSchool2016,333,2,B,5,U2 B D2 R2 F2 L2 B D2 F' D2 R D U2 B2 L2 U' B' D R2 B2
Andorra2016,333,1,C,4,L2 R2 D2 B' L2 U2 B' L U B U' B U B' D B2 L2 U'
ShakerFall2016,333,2,A,4,D B2 L2 U' B2 D' B2 L2 B' R B D U' F L2 U L2 U2 B2
CubersEastIndiaOpen2017,333,1,O,2,D2 L' U2 R' U B2 D R2 L' D B' D2 L2 D R2 L2 B2 D L2
HaNoiCubeDay2017,333,1,M,5,R F2 L U2 L' D2 L2 B2 U2 F U F U' L B2 U2 B2 F2
MontrealOpenWinter2017,333,1,A,2,D' F' B' U2 R L2 F B' D' L2 F U L2 D2 F2 U' B2 L2 D2
SSL1Jonkoping2017,333,1,B,2,F2 R2 B2 L' U2 F2 R D2 R2 F U' L2 D' F R' U' F' U B' F'
IowaStateSpring2017,333,2,A,2,R' D2 R F2 L' D2 B2 U2 F2 U' R F' D2 L2 U' F' R B D' R'
Eugene3x3Mania2017,333,1,E,3,L' D2 L U2 B2 D2 R' F R' B' D2 F' U B' D R2 U R2
NanjingSpring2017,333,2,A,1,R D' F2 D L' U' F' U2 B2 L F U2 D2 L2 F' D2 F2 R2 F' B'
KKROpen2017,333,1,B,2,B R2 F' L2 F2 D2 B F2 L2 D' L D2 U' B2 D' B U B F
2ndNegrosSpeedcubingOpen2017,333,1,A,4,L' B R2 U2 R F2 D R2 L2 D B2 U2 F2 L D2 L2 U2 R B2
BeijingOpen2017,333,1,B,5,F B2 U' L' F' B2 D' F' D B2 U' F B U2 R2 L2 F' U2
GLSCupIII2017,333,1,A,4,F2 R2 F' U2 F R2 F2 R2 U2 R2 F L R2 B' U' R2 B D' L' F
IrishChampionship2017,333,1,C,3,D2 F' R2 F U2 F U2 L2 R2 D' L D L' U R U R2 U2 B' L'
CubingUSANationals2017,333,1,AA,1,U F2 U' B2 F2 R2 F2 U' B' D' F2 R' D2 B' F' R2 U2 L R2 D
WC2017,333,1,G,1,D2 L2 B2 D2 U B2 R2 D' R F U' R F U' F' L R2 D' R2
CzechOpen2017,333,2,B,2,R2 B2 D2 L2 F2 U2 R2 U R' F' D U2 L F2 L U B R D
HaNoiOpen2017,333,1,O,1,R2 F R2 F' L2 F U2 L2 U2 R2 F R D R2 D' L' B L' F' U' R
OpenFlorida2017,333,1,A,1,B2 D U2 F2 D' R2 U' L2 U2 F2 R' F' D' R' F2 U2 R D' R B'
UralOpen2017,333,1,A,5,B' R2 B L2 R2 U2 B D2 F2 L' D' B' F2 L2 D R2 U F' D'
DLSWrzesien2017,333,1,B,2,B' F2 U2 F2 L2 U2 F' U2 F U2 L F' R' U2 F' R U B2 F' L2
MonnemCityCubing2017,333,f,A,1,R2 D' B2 D2 R2 B2 L2 U F2 L R U L2 R2 F2 D F' U2 R
VITRubiksCubeChallenge2017,333,1,G,2,B2 L B R' F2 L U L2 B2 U' R U2 L' U2 D2 L B2 L
FeevaleNHOpen2017,333,f,B,4,L F2 U2 R D2 L2 U2 R U' B L F' L B U2 R2 B L2 B'
MalaysiaCubeOpen2017,333,1,A,2,D2 F' R2 B2 U2 F D2 L2 U2 R2 F2 D' F' R' U2 L D R' B2 F
VillaOpen2017,333,2,A,2,R B2 U2 B2 F2 R2 F2 U2 L R2 U' L U' B' D R D' B2 R' F2
Chicago2017,333,2,D,1,D' L' B2 L' D' B L2 D2 B R D R L D2 R D2 R2 D2
StBoois2017,333,2,C,3,D2 F' R' L2 U F L2 B' D B2 L D2 R B2 U2 B2 R F2 B2 R'
PortoAlegreOpen2017,333,2,C,4,U' L2 F2 D' B2 D F2 R' F' U' R2 F R2 F L2 F2 R2 F L2
AlicanteOpen2017,333,2,A,1,U2 F2 U2 B' D2 U2 F U2 B L2 D' B U' L' F L2 D' L' U2 B
BratislavaOpen2017,333,1,C,2,L' D2 L' F2 B' R2 U D2 R L2 F' D2 R2 B2 D2 B U2 L2 F B'
Capivara2017,333,1,B,1,U B2 L' B2 L2 D2 R' U F' L U2 B2 R2 D2 L2 B' R2 F L2
KyushuOpen2017,333,d,C,3,R' L B' L' U' L B' R2 D F' L' B2 L2 U2 R2 U2 D' L2 D
VIQBer2018,333,1,C,2,U2 R D F' D' R2 B2 D F L2 D2 B2 D2 B2 L' B2 D2 R L2 U2
InnerMongoliaWinter2018,333,1,A,1,B D R2 U F2 D2 R2 L U' R' U2 F2 R D2 R' U2 R B2 L2
OradeaCubingOpen2018,333,1,B,1,B' D2 F' D2 L2 U2 F R2 F' D2 L' B L2 F D F' D R' B D
OsijekOpen2018,333,2,A,1,F2 D2 U B2 U' R2 U' L2 B L' U2 L' R D U2 L' D U2 F'
SwisscubingCupI2018,333,1,C,1,L B2 R D2 L2 U2 F2 D2 R B' L R U' R B2 U' R' D2 U F
RigaSpecial2018,333,1,C,5,D2 U2 B2 U2 F' D2 F R U' B' F' D' R2 F' L2 D' R' U'
LagomarBast2018,333,1,A,2,D' L' D2 L2 D F B2 R2 U F2 U2 F' L2 U2 F2 R2 B' L2 F'
SNUOpen2018,333,2,A,3,D2 B' D2 B2 L2 B2 F' D2 L' B' U B' D2 L' B D2 U2 B' R
XianCherryBlossom2018,333,1,C,1,L2 F2 D' L2 D' U2 B2 R2 B2 L2 B R' F D B' F' D2 L2 U' F2
CubeIA2018,333,f,A,4,U2 B R2 B D2 B2 F2 L2 R U2 L2 B2 F2 U' B2 F U2 R' D2
PugetSoundSpring2018,333,2,B,1,B2 D' B2 D R2 U' R2 B L2 R F' R' B' D L U L2 D2 U'
NanjingSpring2018,333,2,B,3,R2 D F2 U' R2 F' D' F2 U' R2 L' B2 L' F2 U2 F2 D2
ShanghaiLoveinECNU2018,333,1,D,1,D2 L D2 B2 D2 B2 L2 U2 L' B' U R B2 U' L F2 L R' F'
FecapOpen2018,333,1,B,1,U B2 U2 B2 F2 L2 F2 U B2 D2 U' L B F2 U2 B R' U2 B U2 B2
GreatLakesChampionship2018,333,3,A,1,R2 B' L2 U' L2 D F' R2 D R F' B2 U2 F2 R2 D F2 U'
WesternChampionship2018,333,2,A,1,R2 U2 L' R' U2 F2 U L U' B R2 U2 L2 R B' F2 D'
HefeiSummer2018,333,1,I,2,F2 L2 D U L2 D R2 D R2 U' B R' D' B2 R B U' F2 U
CubingUSANationals2018,333,1,M,2,R' D B' R' L B' L2 U L2 U' L' D L2 U D2 B2 R2 U'
ProjectRadom2018,333,1,A,5,D R2 U2 B2 U2 F2 L2 U F' D F2 D' B2 U' R' F2 R U
CubingUSANorthwestChamps2018,333,2,D,4,U2 R2 F2 R2 U' F2 D F2 U F' D2 L D L D R D' L F
SiouxFallsSummer2018,333,f,A,5,L' U2 R' U2 B2 L2 D2 R' F2 U2 R D B L B D' L' F R F'
CubeHub20Open2018,333,1,D,1,B2 D2 F D2 B' F' D2 U2 R2 D' B' R' F2 D2 L' U B2 F2 D R
IGA2018,333,2,D,1,R2 D2 U2 L' B2 U2 F2 R' B D2 U2 B U2 R' D B R' U L'
SESCCamaqua2018,333,1,C,5,R' B' U' F' L' U' L' F' B R' D2 R2 B2 D2 F2 L B2 L
KaspiyOpen2018,333,1,A,3,D B2 D L2 D2 U' R2 U' L D F L' U B' F2 U2 R' B
SchoolmarkOpen2018,333,f,A,2,R2 F' B U R2 U2 B R L2 D2 R2 B2 D2 B2 U L2 U' F2 L2
ShriRamCubingChallenge2018,333,1,E,2,B2 L' B2 L2 U2 F2 L' U2 F2 L' B L2 D F' L' R' U' L D' U2
Saitama2018,333,d,A,3,U2 R' D' F2 L' U B D' F2 D' R' F2 R' B2 R B2 L B2 L'
ProjectJastrzebieZdroj2018,333,2,A,2,B' D2 F' L' D' B2 D F2 R2 L F' U2 L2 D2 F2 D2 F2 L2 F2
WenzhouOpen2018,333,1,E,1,L' B D2 F U2 B2 U2 D' L' F2 L2 U2 D2 F' D2 F' B' U2 L2
BigCubingItaly2018,333,1,C,2,B L2 D2 U2 F2 D2 B' L2 R2 F R' D L2 U B' U2 B' L' R'
MongoliaChampionship2019,333,1,G,1,R2 U R2 L' F2 U' B L2 B' L' F2 R2 U2 F2 U' F2 U2 R2 F2
FontwellOpen2019,333,2,C,4,F2 R B2 U2 R D2 U2 B2 U2 B R2 B2 U' B2 L U F D2 F
BinghamtonWinter2019,333,2,B,1,L2 D2 F D2 F2 R2 F L2 D B' F R D F' R' B R2 D2 R
HuehueOpen2019,333,d,C,2,B2 R F2 L2 U' L2 B R B R' U2 L' F2 R' B2 R U2 R
WuhanChuyunSpring2019,333,2,C,2,R' D F2 U2 B D F2 U R' B D' B2 R2 B2 D2 R2 D2 R2 U
KoalaficationBrisbane2019,333,2,A,2,F2 B' U L D' R2 F2 U' B' D' B L2 B' L2 F2 D2 F R2 D2
SanJoseDelMonte2019,333,f,A,4,L' D2 L' U2 R2 D2 R B2 F' R U L' U2 F L F U F2 U'
GuiyangOpen2019,333,1,A,4,D F D L' D F B2 R B' U B' U2 L U2 R D2 R' D2 F2
CasalCatalunyaBairesOpen2019,333,1,D,1,U2 R2 U2 B' R2 U2 F2 L2 D2 R2 F' L' F L' R U' B' L D2 F
PlayCubeX42019,333,1,H,2,B2 U' R2 D' F2 L2 U R2 U B' R B2 U2 L B' F' L F' L' U
ArcadiaSummer2019,333,2,B,3,R L2 F' U' D2 F' D F' R U2 R2 B2 U' R2 D2 F2 D R2 B2
SantoDomingoSummer2019,333,2,A,2,R2 U B' R2 D' R U' R' F2 L U2 R2 L2 F2 U2 D F2 D2 R2 U'
JakartaOpen2019,333,2,A,1,D' L2 D2 U B2 F2 L2 B2 F' D U2 R' F2 L B2 R' D B' D'
IGA2019,333,2,B,4,L2 D2 R2 U2 B2 D2 R U2 R2 D B2 F' D' F' L D' F' U' F2
WacoCubeAssembly2019,333,1,A,4,D' F2 D' F2 R2 D R2 U2 F' U2 L' U L F' D2 F' R' F
DanishOpen2019,333,1,B,4,L2 U R2 L2 U' R2 U2 F' U' B2 D2 R' U2 D2 R' U2 D2 F2 R D2
ShenzhenOpen2019,333,1,E,1,D R2 D R2 B2 U' F2 L' B L2 D2 U2 B R D2 U2 L U
FortitudeSydney2019,333,2,D,3,R' B D' F L2 F B L' B' R F2 D2 F2 U2 F2 L' F2 L B2 L2
PreboldOpen2019,333,2,B,5,U' B2 U R2 F2 D2 R2 U' L F' D' B' D2 F2 D2 B' U2 L2 R
IItapeOpen2019,333,1,B,4,R2 D R2 U' F2 U' F2 R2 U2 F R2 B' D' U2 L' R2 U' L' R
KjellerOpen2019,333,1,C,1,B2 L F2 L B2 L2 D2 L' B2 F U2 R2 D L2 U B' D2 U' L2
BadenWurttembergOpen2019,333,f,B,1,U' B R2 L F L' F D R2 F R2 D2 F2 D2 R2 B' L2 F'
AZCubingWinter2019,333,f,A,2,U2 R2 U2 B' F U2 B L2 F L2 R' B2 L2 D' B D2 B D R' U
CultAWayCubeOpen2020,333,f,A,1,B' U2 F' D2 B' D2 F L2 U B2 R' D U B' F' R F R' B'
CebuOpen2020,333,1,B,5,F2 L' D2 L F2 R' U2 L2 B D' L D R2 B' D2 U2 L2 F' R2
KanazawaOpen2020,333,f,A,1,B2 U L2 B2 D2 R2 D2 R2 F2 U' R2 F' R' B2 D B2 F' D' U2 R2
FrankfurtCubeDays2020,333,f,A,4,D' U L2 R2 U B2 R2 U2 R2 F L2 R' D' U' R' D' B F2 L
MuddWinter2020,333,1,A,2,F' L2 B L D F R L' D R2 F2 U2 B2 L2 F2 R L2 D2 L' U2
CubopiaOpen2020,333,2,B,1,F2 R D2 R' B2 L2 R' U' R2 F U2 R D F R' B2 F L2
ShowgroundShowdown2021,333,1,C,5,U L' R' B2 R' F2 D2 R2 D2 B D F D' B U2 L' F U2
BogoroditskOpen2021,333,1,D,1,L R B2 F2 D2 L R2 D2 B' F D B2 U' F' D' F2 D U'
BucharestCubingDays2021,333,2,A,1,U R' B' L2 F2 D F2 L2 B2 U' R' U' B' U' R2 F R'
