Competition,Optimal Length,Optimal Solution,Scramble,Round,Group,Scramble Num
CliftonWinter2017,10,U2FR2U'F2U'R2UR2U',R F' U' R2 F R U' R U' R F2,d,E,2
NordicChampionship2019,10,U'F2U'FU2F2UF2R'F',R' F R U F U2 F U' F R2 U2,1,D,4
SlovakianCubeDay2018,10,UFRF2R2U2F'U'R2U,U R F R2 F' R2 U2 R U R' U',1,D,5
HaywardRubiksRumble2016,10,U'RURF'U2R2UR'U,R U R U2 R2 F U R2 U2 R' U2,1,A,1
VestegnenOpen2017,10,U'R'U'FUR'FR'F2R',R' F' U' R U2 R' U' R' F' R2 F',c,D,3
HangzhouOpenAM2021,10,URFU2F'UR'F2R'U,R U' R2 F R2 U' R' F R2 F U',f,A,5
BeijingSpringAM2021,10,U2R'FU'F2UF2R'FU',U' F R2 U2 F' R' U R F' R2 U2,d,E,3
HaywardRubiksRumble2016,10,U'RFU2R'U'F'UR'U,U F' U' R U' R' U F U' F U',1,C,1
HaywardRubiksRumble2016,10,U2R'UR'F'URFR2U',U' R F' R2 F2 U2 R U2 R' U2 F,1,E,1
KaohsiungOpen2016,10,U'RFUR2U2RFRF',R' F' U2 F R U' R U' F' R' U,1,B,2
HaywardRubiksRumble2016,10,U'RUR2F'UR2U2F'R',R' U2 R U' R' U2 R F' U' F U',1,E,1
NordicChampionship2019,10,UF2UR'FU2RU2R'U,U' R U' R' U R F R' F R U',1,B,4
BeijingSpringAM2021,10,FRF'RF'U'RF2U2R2,R' U' R' U' F U' F U2 F R2 U',d,A,3
HaywardRubiksRumble2016,10,UF2U'F2RFU2R2FU,U' R F' R' U R' U' F' U2 R' U',1,G,1
VeenendaalOpen2018,10,U2F'RU2R2URF'UF2,F' U2 R2 F U2 F R U' R U2 R2,f,A,2
HaywardRubiksRumble2016,10,UF2U2RF'RF2U2F'U2,F U' R2 U' F' R' U2 R' U2 R U2,1,H,1
CubingUSANationals2019,10,U'F2U'FR'FR'FR'F,U R F' R' U2 R' U2 F' U' F2 U2,1,B,2
Maryland2017,10,UF'R2U2RFR'U2RF2,R' F R F' R2 F R2 F' R2 U' R,1,B,4
SmartCubeFest2018,10,UR2U'R'UF2U'FU'F2,R' U' F' R U2 R' F U' F2 R U',1,B,5
RijswijkOpen2018,10,FUR2U2F'R'F'URU',U R' U2 F U' R' F R U' R U,1,D,1
NorthernNeckWinter2019,10,UF2U'FUF'RF'R2U2,U R' U F R2 F' R U' R2 U' R,1,C,1
GreatLakesChampionship2018,10,UFU'F2UF2R2U'FU,R F' R' U' R2 U' R2 U' F' U2 R2,1,G,4
NationalCubingRegionOpen2016,10,UF'RU2R2F'URF'U2,F' R2 F U' F U R U R U' R2,d,H,2
NorthernNeckWinter2019,10,U'F'UF2U'R'U2R2U'R',R' U F2 U2 R2 U2 R' U F' R U,1,A,1
GreatLakesChampionship2018,10,U'RF'U2RU'F'R'UF2,U R' U2 F U R2 U' F' U2 F' U',1,I,4
BackToBelgrade2021,10,URU2RU'RU2R'U2F,F' U R' U' R U' R U' R' U R,2,B,1
BackToBelgrade2021,10,FURU2R'UR'U2FR',R' U2 R U2 F' U' R U2 R' F' R,2,A,1
CubingUSANationals2019,10,UFR'U2RU'FR'F2U,U2 R' U F U2 F' R2 U R U' R',1,B,2
BackToBelgrade2021,10,UF'U2F'UR'F'UR'F',R F R2 U2 R' U' R' U' F U R,2,A,1
RijswijkOpen2018,10,U2F2URUR2F2U2F'R',U2 R' F' U' F U' F R U2 R U',1,C,1
RijswijkOpen2018,10,U'F2UF2RF'U'R2U2F',U' R' F U' F R2 U' R' F' U R',1,B,1
TeaTimeSpring2018,10,U'FU2FU2R2FR'F'U2,R U' F' R2 U R U2 R' F' U2 F,1,A,5
ZhengzhouSummer2021,10,U'FU2FR2F2U'RFR2,R U R2 F' R U R U2 R2 U' R,d,A,1
CanberraSpring2016,10,UR2URU2F'R2U'FR2,R2 U' F' R2 U' R' U' R U' R2 U',1,C,4
SmartCubeFest2018,10,UFU2RU'F2R2FUF,U2 R' F U' R U' R' U2 R' F U,1,E,5
ZhangzhouOpen2018,10,UF'R'U'FR2U'F2UR2,R' F R U' R F U' R U' R' U',1,A,4
BelgianOpen2017,10,U'FR2FU'R'F2UR2U,U R F' U2 F' U' R2 F R U' R',1,B,2
GLSCupIII2017,10,U2FRF2U'F2URF2R',U' R F' U2 R U2 R' U2 R2 U' R2,d,A,5
DAIICTOpen2018,10,U'F'R2FU2R'UF2U2F',R U' F' R2 U2 F U F2 R U R',1,B,2
DAIICTOpen2018,10,UF'UR'F2URURF2,U' R U R' F U' F2 R U2 R U2,1,A,2
HaroldParkClassic2019,10,U'F'R2U'FR2FU'F2U',R' U R' F R U' R U' F R2 U2,1,B,2
CubingUSANationals2017,10,F2RU2F'U'F2U2RU'R,R F' R2 U R U2 R2 U' R U' R,1,G,4
MinnesotaCubeMelt2017,10,U2F'R'U'F2RFU2F2R',R U2 R2 F' U2 F U' F R2 U' R2,1,E,1
HaroldParkClassic2019,10,FR2F'RU'FU'F'R2U,U R' F U' R2 U' R2 U' R2 F' U',1,C,2
VolgaNizhnyNovgorod2020,10,UF'R2U'F'RF'R2U2R',U2 R F U' R U R' F R' F U2,1,A,5
MinnesotaCubeDays2020,10,UF2U2RU'F2UFU2F',U' R' U R' U2 R U' F2 R U2 R,1,D,3
GLSCupIII2017,10,UF'U2F'R2F'U'FUF',R' F2 U R' F R2 U2 R' U R' U',d,C,5
StarCubingNijmegen2020,10,UR'UF2R2U2FRU2R',U' R' U' R U R' U' F' U F2 R,1,E,5
GLSCupIII2017,10,U'RF2R'F2UF'R2FU',F U' R2 F U' R U R' U' R2 U',d,E,5
HaroldParkClassic2019,10,U'F2UR'F2U2FUF'U',U' F' U2 R2 F R2 F' R' U2 R' F,1,D,2
AsianChampionship2018,10,FU'R'UF'RF2U'F'U,R2 U' F U2 R2 U' R' U2 R' U' R',2,A,1
EgerOpen2017,10,UFRU2F'R2FU2FU,R U' F R U R' F U R' U2 R2,2,B,2
AustralianNationals2018,10,UF2U'FRF2U'R2U'F2,U2 R' U F U' R2 U R' U' F' R2,2,A,2
AustralianNationals2018,10,U'RUF'U2F'U'F2U'R2,R' U2 R2 F' R' U' R U2 R U2 F',2,B,2
ZhangzhouOpen2018,10,U'F'U2RF'UR2F2R'F,U' R' F R' U' R U' R' F2 R U2,1,D,4
NordicChampionship2018,10,UF'R2UF'UR'U2RF',R2 U' R' F R2 U2 R' U2 R' U2 F,1,C,5
GACubersSummerBlast2018,10,U2RF'U2FUR2U2F2U',R' U R2 F' U R U' R' U R U2,1,A,2
FuengirolaCubea2018,10,UFR'F2U'FR'UR'U2,U R U' R' U R' F R2 F' U R',1,A,2
CubingUSANationals2017,10,U2F'RF'R2UF'RFR,U' R U' F2 U' R U2 R U' R' U2,1,AE,4
CubingUSANationals2017,10,UR'URU2F'U'R2FR',U R' F U2 F2 R U' R F' R' U2,1,AD,4
NordicChampionship2018,10,U'R'F'U2F'R2F'U'FU',R' U' F U' R2 U' R2 U' R F U2,1,D,5
ChengduNewYearAfternoon2021,10,UF2U2R'U'RU'R2U'F,R U R U' R' U R F' R2 U2 R,d,A,4
HungarianOpen2019,10,URFU2R2UF2UR'U,F U2 R U' R U2 R' U R' U2 F2,1,D,2
CubingUSANationals2017,10,U2FU2F'RF'RU'F'U2,U2 R' U R F' R2 F' U R U R,1,M,4
HefeiSummer2018,10,UF'URFU2R'U2R'U,U R' U' R U R' U F U2 R U,2,A,5
CubingUSANationals2019,10,UFR'FR'F'U'R2U'F2,U2 R' F U' R' U' R2 U' R2 F U',1,K,2
HungarianOpen2019,10,UFRFU2R2U'RUF',R' F R2 U2 F U2 F U' R U' R,1,B,2
HungarianOpen2019,10,UF'U'F'R'F2UF2UR',U R' U2 F' U F U' F U' R2 U2,1,A,2
HungarianOpen2019,10,U'F2RUR2U'RF2R'F',R U2 R2 F U' F' U' R U2 F' R2,1,A,2
CubingUSANationals2017,10,UR'F'RFR'UF2U'F2,R' U F' U2 R U' R U' R2 U2 F',1,P,4
UBCOpen2020,10,UFR2F2R'F'R'UR2U',R' F' R U R' F' U2 F R' F U2,d,B,5
StarCubingNijmegen2020,10,UF'U'F2UR'F2R2F'U',U' R U' R2 U' F R2 F R U F,1,A,5
UBCOpen2020,10,U2FU'FU2R'FU'FU,U2 R U2 F' U' F' R2 U F R U,d,A,5
NovaOdessaOpen2014,10,UR'UF2R'FURF'U',R' U F R U R F' R2 F' U2 R,f,A,1
MinnesotaCubeMelt2018,10,U'F'U'F2RUF2U'RU,U' R U R' F R2 U' F' R' U R',1,D,4
France2016,10,FU'FR'F'RF2UR'F,R' F U' F U F' U R U' R U',d,A,1
CanadianOpen2015,10,URF2U'F2RU'FR'F,F' U' R U2 R' F' U2 R2 U' F' R',1,B,1
MinnesotaCubeMelt2018,10,UFU2FU'FU'R'FR2,U2 R' U2 F U' R2 F R U' R U',1,B,4
CubeWeekendStMichielsgestel2019,10,UF'RFU'RUR2UR2,R' U' R2 F' U2 R' U' R U' R' U2,f,A,4
ItalianChampionship2017,10,UFR2UR'UR2URF2,U R F' U2 R U' F' U2 F' R' U',1,D,2
Chipola2019,10,UF2UR'FU'R'F2R'U2,U R U' R2 U2 R F' R2 U2 F' U',f,A,1
PolishChampionship2021,10,U2R'U'FR2FU2F'R2F2,F2 R U' R' U' F U' F U2 R U',d,B,2
PolishChampionship2021,10,UR2FR'F'R2UF'RU',U R' F U' R U' R' F' U' F R2,d,A,2
RiverHillSpring2019,10,U'FRF'R2UR'FR2F2,F' U2 F R2 U' R2 U' F U2 F U',f,A,4
BergenOpen2021,10,UFU'RF2U2R'FUR2,R U' R2 U' R U2 F R U2 R' U2,f,A,3
LesFranquesesOpen2019,10,UF'UF2R2UF'UF'U,R F' R2 U R U' R2 U2 F R U,f,A,1
No3x3x3Cambridge2019,10,FU2FRU2R2FU'R2F,R U' R2 U R2 F' U' R2 U2 R U2,2,B,2
NationalCapitalRegion2019,10,RF2URFU2R'UF2R',R U2 R2 U F2 U' F U' R2 F R,d,D,5
BerkeleySpring2018,10,UF'R2FR'U2FR2FU',R F U2 R' U' F R U R' U2 F,d,B,1
LexingtonFall2015,10,UR'UF'U2R2FR'F2R',U R' U' R2 F U' F U' F U' R2,1,C,1
SacCubingIII2018,10,UF'U'R2FRF'RF'U',U2 R' U R U' R2 F R' F U' R,2,A,1
LexingtonFall2015,10,UF'RUF'U2FR2F'U,U' R F' U' R2 U' F U2 R' U2 F,1,B,1
PSTLLSLublin2019,10,FR'F2R'U'FR2U'F'U2,R' U' R' F U2 R U' R' F R2 F',1,B,1
No3x3x3Cambridge2019,10,F'U2F'RF2U'R'F2R'U,R U2 R2 U' F U F' U2 R2 F R',2,A,2
SSTWarszawa2021,10,UFUR'UF2R'FR'F',R F' R U2 R' U R U' R F' R2,1,B,3
KoalaficationMelbourne2019,10,U'RFU2R'U2FRU'F,U' R U' R' U' F' U' F' R2 U R,1,D,4
PugetSoundSpring2019,10,UF2R2UR'F2R'FRU2,U2 R U2 F' U R U2 R2 U' R U2,1,A,3
MPEIOpen2019,10,UFR'U'R2FR'UFR2,R2 U2 F U' R2 U2 R' U' R2 U' R,1,A,1
CanadianChampionship2019,10,FR'UFR'U2RFR2F',U' R F U' R' F U' R U2 R' F,d,C,5
PolishChampionship2021,10,UFU2F'U2F'UR2FU',R' F R' U R U2 R' F U' F2 R,d,C,2
ItalianChampionship2017,10,F'UR'F2RF2RFR'U',U2 F U2 R' F R U' R U2 F' U',1,B,2
HuzhouOpen2019,10,UFU2R'FR'FU2F'R2,R' F' R U2 F' R U2 R' F' U' F,2,B,2
GreatLakesChampionship2018,10,UF'U2FR2FU'F2R2U2,U' R' F' U F2 R U' R F' R2 F,1,A,4
MPEIOpen2019,10,URUF'R'F2UF'RU,U' R U2 R' U R' F2 R U R' U,1,E,1
GobblerCubeDayWinter2019,10,U'FU2R'UF2U'F'U'R',R' U' F R' U' F' U' F R' U' R2,f,A,1
PSTLLSLublin2019,10,R'UF'U2FUR'FR2F',U R' F U2 F R U2 R' F U2 F',1,C,1
MPEIOpen2019,10,UF'U2RF'U'R2F2U'R,U2 R F' U2 R2 U' F R2 U' R2 U2,1,F,1
MPEIOpen2019,10,U'R2F'RU'FUFR2U2,U' R' F' R2 F R2 U' R2 F R U2,1,F,1
IdahoSummerB2021,10,U2FUF'R2U'FR2U2R',U R' U2 F' R U R' F R2 U' R2,1,B,3
OculusCubeOpen2019,10,FU2F2R'U'R'U2R'FU,R' U2 R' F R2 U' F' U2 R2 U' R',1,B,4
CubingUSANationals2019,10,U'F2U'F2U'F2RU2R2F',U' R U2 R2 F U R F' R2 U2 F,1,D,1
SelangorCubeOpen2019,10,U'FUF2UR'F'U2RU',R U' R' U2 R' F' U' F U2 F2 R',1,D,4
France2016,10,UF'U2FR2U'FU2F'U',R' F' U' F R U2 R F U' R2 F,d,D,1
BelgianOpen2017,10,UF2R2F'URU2F'R2F,R' U2 F2 R F' R U' R' F U' R2,1,C,2
PolishChampionship2021,10,UF2R'U'R'U2R'FU'F2,U' R' U' R U' F R2 U' F' R U2,d,D,2
Murcia2018,10,U2RU'FUF2U2R2U'R,R' U' R2 U2 R' F U' R2 U2 R2 F,f,B,1
MPEIOpen2019,9,R'U'F'U2RF'U2F2U',U R' U2 R' F U' F2 U' F R2 U',1,D,1
AsianChampionship2018,9,F'UF'RU2R'F2UF',U' R U' R' U2 R' F' R2 U R' U',1,G,3
HefeiSummer2018,9,F2UFR'F2R'F'R2F2,F' R2 F' R2 U2 R' U' R U' R2 U,2,B,5
HungarianOpen2019,9,URUR2F2U'RU'F,R' F' R F2 R2 U2 R' U' R F' R2,1,C,2
Shenzhen10thAnniversary2019,9,UFR'F'U'RF'UR',U' R' U' R U' R F' R' U2 R' U2,d,F,5
BerkeleySpring2018,9,R2F'UF'UF'RU2R,R U2 R2 U2 R F U' F U' F R2,d,C,1
HungarianOpen2019,9,F'RU'FU'R2FUF,R F' U' F' U2 R2 F U2 F R U',1,B,2
GACubersSummerBlast2018,9,F2R2FR'UF'U2F2R2,U' R' F R U2 R2 U' R2 U2 F2 R,1,C,2
BerkeleySpring2018,9,U'R2UR'F'UR2F2U2,U R' U F U2 R F' U' R U2 R,d,C,1
AsianChampionship2018,9,F'RF'R2F'U2RU2F',U' R F' R2 U R U2 R' F U2 R',1,H,3
HefeiSummer2018,9,FRF'UF'U2F'R2F',R' F U2 R U R' U2 R' U' F R,2,D,5
AsianChampionship2018,9,FUR2F2U2F'R'FU',R F' R2 U2 F U' F U' F U2 F',1,D,3
MPEIOpen2019,9,UF'RU2RU'F'R2U',U' R2 F' U2 R2 U' R' U2 R' F U',1,B,1
MPEIOpen2019,9,U2F'UFRF'R2U'R',U2 R' F' R U2 F' R U' R' U' R,1,C,1
AsianChampionship2018,9,FU2F2R2U'RU2F'U,U2 R' U2 R2 F' U' R2 F U' R2 U2,1,B,3
SpeedcubingESYA2018,9,UFR2FR'F2UR'F',U' R U2 F U' R U2 R' F U2 R2,f,A,1
SpeedcubingESYA2018,9,U2F'U2RFR'UR2U2,R' F' U F R2 U' F R U2 R U',f,A,1
HeartlandChampionships2018,9,U'RF'RFU'R2F2R',R U2 R2 U2 F2 U R U R' F U',1,G,4
Shenzhen10thAnniversary2019,9,F2RU'FU'FU'R'U2,U' R' U' R F' R2 F U' R U2 R',d,G,5
Shenzhen10thAnniversary2019,9,FUFRUR2FU'R2,R' F U F R' F R U' R F' U',d,H,5
BerkeleySpring2018,9,F'RFUFU2FUF2,U R F R2 U' R' U' R' F U2 F,d,A,1
GoldCoastSpring2019,9,UR2U'FR'U2R'U'R2,R U2 R2 F U2 F U' F U' R' U,f,A,2
SpeedcubingESYA2018,9,FU2R'U'R2U2R'U'R,R' U2 R U R' U2 R2 U' R' U F',f,B,1
HeartlandChampionships2018,9,UF'RFR'U2FU2F',R' F U2 F R2 F R U' F R' U',1,H,4
OsterhojOpen2018,9,UFU'R'U'RU'R2F2,U' R' U2 F R U' R' U F U' F2,f,A,1
BerkeleySpring2018,9,U'FU2R2FU2FU'R,R' U' F U2 F U2 F' U2 F2 R2 U',d,A,1
DanishOpen2019,9,U'FRFU2R'FR2F2,R U R U2 R2 U F' U2 R U R,1,B,4
SEChamp2018,9,UR'U'F2UR'F'U2F,U' R U' R' U2 R F R2 U' F R,1,A,3
VeenendaalOpen2018,9,FR2U'FR2FUF'R',U2 R' U2 R U' R U2 F' U2 F' R',f,C,2
GACubersSummerBlast2018,9,U'RF2R2U'RFU'F2,U2 R U' F' U2 F' R2 F R2 F U2,1,C,2
BranchburgOpen2019,9,U2F'RU'F2UFR2U2,F R2 U2 F' R2 F R U' R2 F U',1,A,2
TeaTimeSpring2018,9,UR'F'RU2F'UR2U2,R F U F R U' R' U2 R2 U' R2,1,D,5
TeaTimeSpring2018,9,FUR'FR'U'R2UF',R' F U' F R U R' U' F R2 U',1,C,5
SeraingOpen2019,9,U2R'UF2U'F2UR2F2,U' R' U R' U2 F R U2 R' U' R2,1,B,4
FinnishChampionship2018,9,F2R2FRF2U2RU'F2,U' R U' R' F' R2 F R2 U2 F' R',2,A,4
KjellerOpen2019,9,F2R'UFR'F2UF2U2,U' R' F' U2 R F U' R2 U' R' U',f,A,1
TeaTimeSpring2018,9,UF'URF'RU'FR,U R' F' U2 F R U R U2 R' F,1,E,4
TeaTimeSpring2018,9,U2F'UR'U'R2U'R2U',U R U' R2 U R U F' R' U R',1,D,4
AsianChampionship2018,9,U'F'RF'UR'FU2F2,R U2 R' U R' F2 R U R' F U',2,B,1
TeaTimeSpring2018,9,FU'F2U'RF2U'FR',R' U' F R' U' R U' R' U R' U',1,B,4
GreatLakesChampionship2018,9,U'F2RF'R'F'U2RF',U' R' F U2 F2 U' F U2 R2 U2 R2,1,B,4
HungarianOpen2019,9,UFR'FU2RU'F2U',R U' F U F R2 U2 R' U' R' F,1,D,2
BranchburgOpen2019,9,URU'FRF'UR2U',R U' R2 U F' U F U2 R U2 R,1,A,2
BranchburgOpen2019,9,UF2R2F'RF'RU2R,R' U' R2 U' R2 F2 R U2 R' U2 R,1,B,2
BranchburgOpen2019,9,U'R'URF'UR'FU,R' F' U2 F' R2 U' R2 U' R2 U' R',1,B,2
BranchburgOpen2019,9,RU'F2UR2FR2U'R',R' F R2 U' R2 F' U2 F2 R2 U' R',1,C,2
BranchburgOpen2019,9,F'R'F'R'URF'RF2,R U2 R' U2 R2 U' R U' R F U',1,D,2
GreatLakesChampionship2018,9,U2FU2FU2R'FRU',U' R' F U' F U' F' R2 U' F' R',1,H,4
GreatLakesChampionship2018,9,F'R'UR2FU'FU'F',U' R' U' R2 U2 F' U' F' U' R2 U',1,F,4
BranchburgOpen2019,9,RF'RU'FR2U'F'R,R' U' F2 R2 U2 R2 U2 F' R U R,1,D,2
GreatLakesChampionship2018,9,F'R'UF2UR'FU'R',R' F' U' F U' F2 U F U' F U',1,D,4
FinnishChampionship2018,9,U'F2RF'R2F2UF'R,R U2 R2 F U2 F' U2 R U' F U2,d,C,4
FinnishChampionship2018,9,R2U'FU'RF'URU,R' F' R U R' U2 F U' R2 U2 R',d,B,4
ChangshaAutumn2019,9,U2FR2U'RF'RU2F,R F' R' U R' F' U2 R F U' R,1,B,5
DneprPuzzlesFest2019,9,U'F'R2FR'UR2F'R2,U' R' U F R U' R U2 F' U' R',f,A,1
GACubersSummerBlast2018,9,F'URU'RF'UFU2,F' R2 F U' F U' R U R' U' R,1,B,2
SEChamp2018,9,RUR2F'RU'R'U'R,U2 R' U R U R' U2 F R2 U' R',1,B,3
SEChamp2018,9,U'R2F'UF'RF2RU',U R' F2 U2 F U R' F' R U R',1,C,3
ClashatCarlisleFall2019,9,U2R'UFU'FR'U2F2,U R2 F2 U R2 U' R2 U' R U2 R,f,A,1
ICHBBackToSchool2019,9,RUR2U'RF2U'FR2,U' R F2 U' F U' R U' R U' F',f,A,5
SEChamp2018,9,F'UR2F2U'RF'R2U2,R' U' F U' F U' F R2 U2 F' R,1,E,3
OpendelMayo2019,9,F'R'FU2F2UF'RU2,U2 R' F U R' U2 F' R U' R' U2,2,A,1
VeenendaalOpen2018,9,U2R2U'R2UF'RF2U2,R' F' R U F' U' R U R' U2 R,f,C,2
VeenendaalOpen2018,9,U'FR2U2F'URF2R',U R U2 R2 F U' R U R2 U' R,f,B,2
VeenendaalOpen2018,9,UFR'F2RF'U2R2F2,R' U2 F R U2 R F' R' U2 F R2,f,B,2
MPEIOpen2019,9,F2R'U'R2UR2UR2F,U2 R' U F R2 U' F' R2 F U2 R,1,A,1
SEChamp2018,9,U2R'U'RFU2F2U'R2,R' F R U' R F' U' R2 U R U2,1,G,3
VeenendaalOpen2018,9,R2URF2R'U'R2U'R',R' F2 U' R U' R F' U2 R2 F' U,f,A,2
XlingenOpen2019,9,U'R'U'R2FR'U2R'F,U R2 F' U2 R2 F R' U' F R U2,f,A,2
ElsassOpen2018,9,UR'F'UR'UR2U2F',U' F U' F U' F U' R F' R' U',2,A,3
MelbourneWinter2018,9,R'U2R'U2RU2R'F2R2,R' U R' F R U2 R' U' R U R,1,C,5
Chipola2019,9,U2R2U'F2U'F'UF'R,U R U' R2 U R U' R' F' U R,f,B,1
NordicChampionship2019,9,U'R2UF2U'FU'FR,F R U' R' U' F U' F U R2 U2,2,A,4
MinnesotaCubeMelt2018,9,R'U'FR2U'F'URU',R U' R2 F' U2 R F U2 R U' R,1,C,4
SeraingOpen2019,9,U'F'UFU2FU2R'U2,U' R' U' R2 F U' R U' F R2 U2,1,C,4
MeppelOpen2018,9,F'U2F'R2F'RU'R2U2,U2 R2 U R' F U2 R2 F' U2 R2 F,f,A,3
Shenzhen10thAnniversary2019,9,U'F'RU2R2F'UFR2,U2 R U' R' U R' U2 F U2 F' U',d,E,5
PSTLLSLublin2019,9,U'R'FR'F2RU2RF2,R U2 R' U2 F R U' R U' R' U2,1,B,1
Florida2019,9,F2RF'R2FRU'FU,R' U' F U' F U2 R F' U' R2 U',f,A,2
CubingUSANationals2019,9,U'F2RUF'URU'F',R U2 R' U2 F U' F U2 F U R,1,B,1
NortheastChampionship2019,9,U'F2R2FR2UF'U2F2,R' F R' F' U2 F R2 U2 R' U R,f,A,2
CubingUSANationals2019,9,UR'U'F2R2UF2U'R,U' R' F R U' R F2 U' R2 U' R2,1,C,1
OculusCubeOpen2019,9,FU'FUR'FRU'R',R F' R2 U' F' R2 U' R2 F U R2,f,A,5
OculusCubeOpen2019,9,R2U2R'U2F2RF'UF2,R' F' R U F' R U2 R' U R U,1,H,4
CubingUSANationals2019,9,U'FR'F2R'F2R'U'R',R' U' F U' F2 U F U2 F R U',1,C,1
CubingUSANationals2019,9,UF'R2U'R'F2U2R'U',U R F' R' U' R' F R2 U' R' U,1,D,1
OculusCubeOpen2019,9,UF'U'R'UR2F'U'R,R' F' R' F' U' R U R' U' R U2,1,E,4
OculusCubeOpen2019,9,R'FRF2R2UF'U2R2,U2 R' U R' U' R2 U2 R' F U' R2,1,A,4
CubingUSANationals2019,9,U'R'F'UF2R2U'F'R,U' R' U' F2 U2 F' U2 R2 F' R' U,1,F,1
CubingUSANationals2019,9,U'RUF'U'RF'U2R,R' U2 F R2 U' R U2 F R U' R',1,F,1
CubingUSANationals2019,9,F'UF2U'RF2R2UR',R' F U' R2 F' U2 F U2 F R U,1,G,1
WFSCubing2019,9,F'RFU2R'UR2F2U',U R' U R F' U' F' U' R2 F U',1,A,3
CubingUSANationals2019,9,UF'UR'UR2F2R'F,U2 F U' F U' F R U2 R F' R,1,G,1
NorthernNeckWinter2019,9,UFU2FR'FRU2R2,R U' F' R2 U' F' U2 F R U2 R,1,D,1
NorthernNeckWinter2019,9,U'FUF'RU'RF2R2,R' U2 R U2 R F U2 R' F' U' R2,1,D,1
NorthernNeckWinter2019,9,RUF2R'F2RF'RU2,U' R2 U' F R2 F U2 F U' F' U',1,C,1
NorthernNeckWinter2019,9,RU2R'F2R'UR'U2R',U' R U2 F' R' U2 R' U' F' U2 F',1,B,1
NorthernNeckWinter2019,9,UF'R'F'R'FU'R2U2,U2 R F' U' R2 U2 R U R U2 F,1,A,1
CubingUSANationals2019,9,URF2U2R'F'R'F2R',U2 R' U2 R F U' F U2 R2 U' R2,1,I,1
RijswijkOpen2018,9,UR'U2FU'F2R'UF,U R F' R2 F' U' R U' R U2 F',2,C,4
RijswijkOpen2018,9,U'RU'F'R'FR2UF,U R' F' U' F U2 R U R F U',2,B,4
RijswijkOpen2018,9,R'U2FUF'UR'FU',F' U' F' U2 R U' R' U' F U2 R2,2,A,4
CubingUSANationals2019,9,U'R'UF2U'F2UFR2,R' U2 R' U' R U' R' U F R U,1,J,1
CubingUSANationals2019,9,U2R'U2R'FR2U2FU',U R2 U2 R2 F U2 F' R U2 R U2,1,K,1
CubingUSANationals2019,9,R2FR2F'RF2RU'F,U R U2 F' R2 F' R2 F' R' U' R',1,B,1
WFSCubing2019,9,F'U'RFR2U'F'U'F',R U R' U' R' U' F U' F U2 F,1,B,3
Shenzhen10thAnniversary2019,9,UF2U2RF'U2FRU',U' R U' R' U' R' F U' R2 U R',d,C,5
RallyintheValley2019,9,UF2U2RUR2U2R'F',U2 R2 U' F U' F U' F' U' R U,1,E,3
StarCubingNijmegen2019,9,U2R2F'U2F'UR2F2U2,U' R2 U' F U2 F2 U2 R U' R U',f,C,3
ChicagoAreaTwistSpring2019,9,U2R'FU'R'F'U2RU2,R' F' U2 R2 U' R2 U' F U' F R',f,B,3
HuzhouOpen2019,9,F'RFUR2F'R'U2R2,R2 U F U2 F R U R' U' F U2,2,A,2
PittsburghSummer2019,9,U2R2F'U2F'RF'UR',U2 R' F R U' R' F' R U F R,f,A,2
