Competition,Round,Group,ScrambleNum,Solved Pieces,Scramble
CrossstraitCubing2014,1,A,2,5,F2 L R B2 R F2 D2 R B2 U B' D' L' D' B2 L' R' U B' R Uw
SevernaParkSummer2017,f,B,1,5,L2 D2 L2 R2 B2 D' L2 D' R2 U2 F' U R D' L' B L2 U2 F2 U' Rw' Uw'
RubikXelaOpen2017,f,B,1,5,U2 R2 B2 D2 U' L2 B2 L2 U' B L R D2 F' R U F2 L2 F' Rw2 Uw'
KaunasOpen2018,f,B,1,5,B L2 U2 B' F2 R2 U2 B2 R2 U2 R' D2 B2 U' L2 B' R B' R2 U Rw Uw'
TakshashilaCubeOpen2018,f,B,2,5,U2 B2 R2 F2 L' F2 U2 R U L' B F2 L' F2 R B L2 U' B2 Rw
BoliviaNationals2018,f,A,1,5,D B2 F2 U R2 B2 D F2 U' R2 U' B F2 L' F2 R' U2 L' R F Rw'
RespectKansas2018,f,A,2,5,L2 R2 F2 L2 D' F2 U' R2 F2 D2 B F' L' F' R' B U F R' F' Rw2
MichiganCubingClubDelta2018,f,A,1,5,L2 B R2 D2 U2 B2 F D2 F' L2 F2 U' B2 R2 D L2 R B' D L2 Fw' Uw
SantaPolaOpen2018,f,A,1,5,U' L2 B2 F2 D L2 U' R2 B2 R2 F' D' L' D L' R2 U' R D' U2 Rw Uw'
SESCSantos2018,1,A,2,5,F2 D' L2 R2 U' B2 R2 D2 L2 R2 D' R F2 U2 F' D' F' D L' B D Rw Uw'
Skillcon2018,1,B,2,5,U R2 D2 U' L2 D' B2 D' B2 F2 L F' D' B2 L2 F' L D' L' D2 B' Rw
SpeedChallengeSantaCruz2019,f,A,2,5,R2 D B2 D2 F2 D' F2 L2 U F' L F' U' L' D2 F' L2 B D' F Rw2 Uw2
Zentralschweiz2019,1,B,3,5,B2 R2 U2 R' F2 L B2 L' B2 U2 F U2 L' U' R2 B F2 U L' U Fw Uw
KalmykiaOpen2019,f,A,1,5,B2 F2 D L2 D U R2 B2 F' U' F D' B' L' D' B D2 R U2 Rw2 Uw
JambiCubeFestival2019,f,B,1,5,L2 R2 U' R2 B2 U L2 U' B' L2 D R2 B' R D2 R B' F' Rw2
WuhanOpen2019,1,B,1,5,U2 B' D2 F' D2 L2 R2 F' U L' B2 D' R2 B' L U' R D2 U Fw' Uw'
WyomingSummer2019,f,B,1,5,B' D2 U2 F' U2 B R2 B2 F' U' B L B D' U L' R U2 F' Rw Uw2
WC2019,1,B,1,5,L2 U2 F' R2 U2 F2 D2 B D B F2 U R' D' B' R2 F R' F' Rw2 Uw'
WuxiOpen2019,1,B,1,5,D B2 D' R2 D' B2 U2 L2 D' R2 F R F2 L' U2 F' R B' L U' Rw
3x3OnlyMinnesota2019,1,A,2,5,B2 R2 U B2 U' F2 D U2 L B R U2 B L B R' B2 D2 B' U Fw
SwisscubingCupIV2019,1,A,1,5,B2 R2 B2 R' U2 B2 D2 L2 B' U' F R2 D2 B L' D R U' F Rw' Uw2
SuperiorCubingThunderBay2019,f,A,3,5,F2 U2 B D2 R2 F' R2 U2 B' U2 L R B' R B' U' F' L B2 Rw2 Uw'
OddDayinSydney2019,1,B,1,5,L2 U2 B L2 B R2 U2 R2 B F2 U F2 L2 R' U2 B' D2 U' L2 B' Rw'
CultAWayCubeOpen2020,f,A,2,5,R2 F2 L2 F' R2 U2 L2 B2 F2 L' D' U2 L D' U L2 D' R B' U' Rw'
KievSuperBlind2020,1,D,2,5,D2 B2 R' U2 L D2 L' R D U' B' U L2 U2 R' F2 D' R' B' Rw2 Uw'
RouenOpen2020,f,B,2,5,R2 F' D2 R2 B2 F D2 B2 D2 R B D2 L' B' D B' R' B U' F' Rw2 Uw
IrunaOpen2020,f,A,1,5,D2 B' U2 F L2 F U2 L2 U' R2 U' R2 D2 B' F2 L U R B2 Rw'
BeijingSpringSpecial2021,f,A,2,5,R F B2 R2 B R' U2 L' B D' B2 D F2 U' L2 F2 R2 D B2 D2 Rw
SSNCubeOpen2017,f,D,1,5,D L2 R2 U' B2 R2 U R2 U L' F' R' U' B F2 D' B2 L2 F' Rw'
Brasileiro2017,1,B,3,5,U2 L2 D2 U L2 U L2 F2 U' R' D2 B F R U2 B' L B F2 U2 Rw'
Norrkubing2021,1,B,1,5,L2 U2 D' F2 R U F U B' R U2 L' B2 D2 L' F2 D2 R B2 L2 B2 Uw
WuhanNxNOpen2017,1,B,1,5,B2 D' L2 D' B2 U F2 D' B2 D2 B' R' F' D' B' R' F' R2 B2 F' R2 Fw Uw
CubingFest2014,f,A,1,5,L D2 L F2 L' D2 L' D F2 R F L' F U2 F' R' D' F Rw Uw'
TCGLima2014,f,A,1,5,R2 F2 D2 L2 D B2 U F2 R' D B2 D' B' F R' B' L2 F R2 U' Fw' Uw2
OklahomaOpen2014,f,A,1,5,D F2 R2 U R2 B2 R2 B2 D' F' U L2 U' L' R U2 F' U R' F2 Rw' Uw'
FrankfurtCubeDays2015,f,A,2,5,B' L2 U2 F' D2 R2 B D2 L2 F R U F2 D' U' B L2 D R B2 D Fw' Uw2
MazateOpen2015,f,A,2,5,B2 D L2 B2 U2 F2 D B2 D R2 U' L' R' D2 R F' U' F' D F2 Uw'
BelgianWinter2015,c,B,1,5,L U2 F2 R D2 L F2 U2 R2 D2 U' F U' L' R' D U2 L2 D2 R2 Uw'
Dvina32015,f,A,1,5,F2 D2 U2 R2 U2 B2 R' U2 B2 F2 R F' U' L F' D R U B' D U Rw'
WuhanOpen2015,f,A,3,5,F2 L2 U2 L F2 L R2 B2 F' U2 L U2 B2 R D2 R2 B' D' B Uw2
SkipsinBrest2015,f,A,1,5,U' B2 R2 U R2 F2 D F2 U R F' L2 U L B U' B' U2 L2 F' Rw' Uw2
BeijingOpen2015,1,A,2,5,F2 D B2 R2 U' F2 L2 U' R' D2 B' F' L2 F' R' D2 U2 R B' Rw Uw2
IndianNationals2017,2,E,2,5,F2 R2 D L2 D' B2 L2 D R2 U' L' F' R' U2 L' F U R B2 L' D' Rw' Uw2
SCMUPuneFallOpenV302015,f,F,2,5,R D2 B2 L2 F2 R F2 U2 R2 B2 U F' D' F' L B2 D' L2 U' R' Uw'
ZaragozaOpen2016,1,A,1,5,F2 U R2 D2 U' B2 R2 D' R2 B2 R' F D2 B' F' L' R F2 U' B2 Uw'
GLSCupI2016,f,B,2,5,B' D2 B D2 B' U2 B2 L2 F' L' D2 L' B2 L2 F U F' L' F Uw2
SPBAutumnOpen2015,f,A,3,5,F2 U2 L2 B' L2 F L2 B2 D2 B' D' L' R B D2 B2 R2 F' R' D' Rw' Uw2
WeihaiOpen2016,f,A,3,5,L2 U' B2 D' B2 U2 R2 F2 R2 B2 U' F D2 U' L B' L2 F' L B' D' Fw
ShenyangSpring2017,1,A,1,5,R2 D' F2 L2 D L2 D2 U B' D2 B2 L R2 B F D' B' D' B2 Rw2 Uw'
CampeonatodeCuboXeta2017,f,B,1,5,B2 L2 F' D2 L2 F2 R2 F' D L2 U L2 F D2 R' F2 D B' U2 Rw Uw
WenzhouOpen2017,f,A,2,5,R U2 L F2 R2 U2 F2 L' F2 U B D U' L' R U R' D' R2 U2 Fw Uw'
BelgianWinter2017,f,A,1,5,F2 U' R2 D B2 D F2 L2 D2 B2 F R D' L2 D' R' U' R' B' U2 Rw2
OrangeTech2017,f,B,1,5,B2 F2 U' B2 D2 B2 R2 B2 R2 B' R' F L2 R2 B U' F' U2 R2 U Rw' Uw2
YangzhouOpen2016,f,A,3,5,R F2 L2 R U2 L B2 L' D2 F2 D' F2 D F D2 B2 L2 D2 B' L' Uw
MalaysiaCubeOpen2016,f,A,2,5,R2 D' L2 U' F2 L2 D' U R2 F' R' D F U' B2 R' F' R2 B R2 Fw Uw
CitedesJeux2016,1,A,1,5,L2 B U2 R2 F U2 F2 D2 F' L' U2 R B' L' U' R2 D2 B D B Rw Uw'
RodeoCarnivals2017,f,A,2,5,F2 R2 U2 F2 D B2 R2 D B2 L2 R' B2 U F' D U2 B2 D B F2 Rw2 Uw
SummerKubeVilaVelha2020,f,A,1,6,D2 B2 U2 B2 R2 F2 U F2 U' B2 F2 R B' R' U B' D2 B' D' R2 D Fw' Uw2
MiniCampeonatoSantiago2014,f,A,1,6,U2 L2 B' F R2 F' L2 B D2 L D2 F2 D L R' D2 U' R' D U Fw Uw
SantoDomingoWinter2020,f,A,1,6,U L2 D2 U' R2 F2 U' L2 F2 D2 B' D2 R D2 R B2 L2 R U' R Uw2
FloridaReturns2021,f,A,3,6,R D' L2 B L U R' U R' F B2 R2 U2 B D2 B U2 D2 R2 Fw Uw
LunadeXelaju2018,f,A,2,6,B2 D L2 F2 D' R2 D F2 R2 U' B' U' B D' L' R2 D' U L' D2 Rw2
SwisscubingCupFinal2017,1,A,1,6,D2 B2 D' L2 D' U2 B2 D L2 F D2 L B U B' F R' B D L R2 Fw' Uw'
VirginiaOpenSpring2017,f,A,1,6,D2 R2 B U2 F' R2 D2 L2 B R D2 F2 U' F2 U2 L2 B2 L2 Fw Uw'
MalangMiniComp2019,f,A,2,6,B2 F2 U' L2 F2 U L2 U' L' U' B' F' U2 F2 U' B L2 F U' Rw Uw2
CaltechWinterOpen2015,f,A,2,6,D U R2 D' L2 B2 L2 D R B' R' D2 F R2 D2 R' B2 D' F2 R2 Fw' Uw'
TurninginTexas2018,f,B,2,6,L2 D R2 D' U R2 U2 B2 L' F' U' R U F D R D B2 Rw'
IsraelSummerOpen2019,f,A,2,6,U2 R2 F2 D' L2 F2 U L2 B' L2 B' R2 B2 R D2 F' R D2 Fw Uw
TapiolaWinterOpen2019,f,A,1,6,D2 R B2 D2 R F2 U2 F2 D2 R' F D R2 F' R B2 F' R' B D Fw' Uw2
CannesOpen2015,f,B,1,7,L2 B2 D' B2 F2 L2 R2 B D' L' F' R2 F' D U L B2 F D Rw'
